ID,GUID,createdtweet,DateLocal,idtweet,usertweet,TweetMsg,SearchParameter,retweeted,retweet_count,lang
23,1d20120d-a8e7-4871-a2ad-852637a64d24,2020-09-04 4:32:19,2020-09-03 23:32:19,1301739848487796736,TrueX,@JoeBiden Unity of command is broken. So divided the country is,JoeBiden,0,0,en
24,1d20120d-a8e7-4871-a2ad-852637a64d24,2020-09-04 4:32:19,2020-09-03 23:32:19,1301739847627857921,Nea Groer,RT @JoeBiden: We need a president who will work to lower the temperature — not raise it. A president who will bring people together and fin…,JoeBiden,0,7179,en
25,1d20120d-a8e7-4871-a2ad-852637a64d24,2020-09-04 4:32:18,2020-09-03 23:32:18,1301739844067045377,blunt67,RT @Jillbiden46: Retweet if you are ready to fire Donald Trump and Elect @JoeBiden.,JoeBiden,0,199,en
26,1d20120d-a8e7-4871-a2ad-852637a64d24,2020-09-04 4:32:18,2020-09-03 23:32:18,1301739843215532032,Fenrirsmom,"RT @KamalaHarris: .@JoeBiden knows firsthand the sacrifices members of our military and their families make for our nation. As president, h…",JoeBiden,0,4221,en
27,1d20120d-a8e7-4871-a2ad-852637a64d24,2020-09-04 4:32:18,2020-09-03 23:32:18,1301739842091380738,Sergio Rio,RT @JoeBiden: The President has a duty to set an example. https://t.co/OwiCo345Ph,JoeBiden,0,5278,en
28,1d20120d-a8e7-4871-a2ad-852637a64d24,2020-09-04 4:32:16,2020-09-03 23:32:16,1301739835779022848,dorothy rush,"RT @Cleavon_MD: As an ER doctor on the frontlines in NYC, the reason 20,000 died in 10 weeks is due to TRUMP, not @NYCMayor or @NYGovCuomo.…",JoeBiden,0,1583,en
29,1d20120d-a8e7-4871-a2ad-852637a64d24,2020-09-04 4:32:16,2020-09-03 23:32:16,1301739835556732928,"Derek Georgino, CPA",@L_i_A_M_K @JoeBiden Nah can’t chalk that one up to a stutter. Also can’t chalk up the “roaches touching my hairy l… https://t.co/BFF28iYRus,JoeBiden,0,0,en
30,1d20120d-a8e7-4871-a2ad-852637a64d24,2020-09-04 4:32:16,2020-09-03 23:32:16,1301739835246481408,Cheramie Lowrey,"RT @susancrabtree: .@JoeBiden tells one of the participants at the event in Kenosha that, ""You're getting too antsy Sit down."" 
Couldn't he…",JoeBiden,0,218,en
31,1d20120d-a8e7-4871-a2ad-852637a64d24,2020-09-04 4:32:16,2020-09-03 23:32:16,1301739833711161344,Hazel Tracie,RT @JoelGoldenberg1: @toddstarnes @JoeBiden @TheAtlantic Multiple anonymous sources say @joebiden's sometimes incomprehensible ramblings ar…,JoeBiden,0,11,en
32,1d20120d-a8e7-4871-a2ad-852637a64d24,2020-09-04 4:32:16,2020-09-03 23:32:16,1301739833082044416,Erik Miitel,"Well, @JoeBiden did say in one speech that @realDonaldTrump should be reelected... 😉 https://t.co/MpR5UXkJZO",JoeBiden,0,0,en
33,1d20120d-a8e7-4871-a2ad-852637a64d24,2020-09-04 4:32:14,2020-09-03 23:32:14,1301739828204072960,#BigUs,"RT @kishineff: Math time! @JoeBiden has said that he won't raise taxes on anyone who makes less than $400,000 per year. The amount that Bar…",JoeBiden,0,4,en
34,1d20120d-a8e7-4871-a2ad-852637a64d24,2020-09-04 4:32:14,2020-09-03 23:32:14,1301739827201675268,Mexcan,"RT @D_jeneration: Just a reminder,

@JoeBiden honors and respects servicemen and veterans https://t.co/F3f4Mfwvu4",JoeBiden,0,41,en
35,1d20120d-a8e7-4871-a2ad-852637a64d24,2020-09-04 4:32:14,2020-09-03 23:32:14,1301739825767350272,slabstick,@JoeBiden Wow. Your words are poetic. Did you read that of a screen?,JoeBiden,0,0,en
36,1d20120d-a8e7-4871-a2ad-852637a64d24,2020-09-04 4:32:14,2020-09-03 23:32:14,1301739824672509955,Bonespur,"@HerschelWalker @DonaldJTrumpJr @JoeBiden @POTUS @FoxNews @CNN Good one, Hershey!! 
I’m sure that cop has a great s… https://t.co/bWTCHEAHpf",JoeBiden,0,0,en
37,1d20120d-a8e7-4871-a2ad-852637a64d24,2020-09-04 4:32:13,2020-09-03 23:32:13,1301739824408264704,Freedom,"RT @Jali_Cat: AMERICA EXPOSES BIDEN‼️

@JoeBiden &amp; his Dem handlers give out questions to constituents to ask ONLY what THEY wrote down.

💥…",JoeBiden,0,239,en
38,1d20120d-a8e7-4871-a2ad-852637a64d24,2020-09-04 4:32:13,2020-09-03 23:32:13,1301739824324521986,Jeanne A Nasty Woman ResistTheDictator,"RT @ChrisDJackson: You know who respects our veterans? @JoeBiden.

Pass it on. https://t.co/9sRRt18xbq",JoeBiden,0,3620,en
39,1d20120d-a8e7-4871-a2ad-852637a64d24,2020-09-04 4:32:13,2020-09-03 23:32:13,1301739824307675142,Rachel,"RT @ChrisDJackson: You know who respects our veterans? @JoeBiden.

Pass it on. https://t.co/9sRRt18xbq",JoeBiden,0,3620,en
40,1d20120d-a8e7-4871-a2ad-852637a64d24,2020-09-04 4:32:13,2020-09-03 23:32:13,1301739823695310851,COL (ret) William A. Woods #FBR,RT @bad_pooky: @JoeBiden I’m #FollowingJoeBiden -Pass it on #WeReadyAlready https://t.co/k92OXesPO8,JoeBiden,0,2,en
41,1d20120d-a8e7-4871-a2ad-852637a64d24,2020-09-04 4:32:13,2020-09-03 23:32:13,1301739823317889025,Diane B,"RT @realCCrump: You can't decide whether you support Cops or want them Defunded/Abolished

Get your thoughts straight before you say you'll…",JoeBiden,0,16,en
42,1d20120d-a8e7-4871-a2ad-852637a64d24,2020-09-04 4:32:13,2020-09-03 23:32:13,1301739821002641409,Enedelia Obregon,"RT @TruthsOverTrump: There is one presidential candidate who respects our military, who fights for our troops &amp; their families, whose son s…",JoeBiden,0,226,en
43,1d20120d-a8e7-4871-a2ad-852637a64d24,2020-09-04 4:32:13,2020-09-03 23:32:13,1301739820742574082,Shang J,RT @drboycewatkins1: The #rapper Ice Cube is coming onto https://t.co/KPbVU3Ox0z tomorrow (Friday 9/3) at 3:15 pm EST.  It'll be interestin…,JoeBiden,0,5,en
44,1d20120d-a8e7-4871-a2ad-852637a64d24,2020-09-04 4:32:12,2020-09-03 23:32:12,1301739819031310336,Kyra Stephens Arutunoff Gebhardt,RT @toddstarnes: Multiple anonymous sources say @JoeBiden has been diagnosed with a life-changing medical condition that could result him i…,JoeBiden,0,1048,en
45,1d20120d-a8e7-4871-a2ad-852637a64d24,2020-09-04 4:32:12,2020-09-03 23:32:12,1301739817441439744,#NeverTRUMP R.Myers,"RT @JoeBiden: To lead America, you have to understand America.

I know how hard it is for folks who are sick, struggling, and wondering how…",JoeBiden,0,23775,en
46,1d20120d-a8e7-4871-a2ad-852637a64d24,2020-09-04 4:32:11,2020-09-03 23:32:11,1301739816078381057,JR,RT @vicksiern: @JoeBiden Who do you TRUST to help and protect you and your family?,JoeBiden,0,205,en
47,1d20120d-a8e7-4871-a2ad-852637a64d24,2020-09-04 4:32:11,2020-09-03 23:32:11,1301739815931539456,DJ Mack Mood,"@get_bikes @CreamsikleNW @JoeBiden Your fucking president needs a spotter to help him walk down a ramp, lmfao",JoeBiden,0,0,en
48,1d20120d-a8e7-4871-a2ad-852637a64d24,2020-09-04 4:32:11,2020-09-03 23:32:11,1301739812576260102,Christine Keys,"RT @Cleavon_MD: As an ER doctor on the frontlines in NYC, the reason 20,000 died in 10 weeks is due to TRUMP, not @NYCMayor or @NYGovCuomo.…",JoeBiden,0,1583,en
49,1d20120d-a8e7-4871-a2ad-852637a64d24,2020-09-04 4:32:10,2020-09-03 23:32:10,1301739809359028224,Brad Beauregard Jr 🇺🇸,"RT @maiamimi: Convince them that if they ever want to have another real election, they have to go vote for @JoeBiden. Don’t waste time on T…",JoeBiden,0,73,en
50,1d20120d-a8e7-4871-a2ad-852637a64d24,2020-09-04 4:32:10,2020-09-03 23:32:10,1301739808788631553,StarrsQueen,"RT @Analisa_Swan: #Tre45on calls those making the ultimate sacrifice to our nation, people wounded in war, who served our nation in uniform…",JoeBiden,0,18,en
51,1d20120d-a8e7-4871-a2ad-852637a64d24,2020-09-04 4:32:10,2020-09-03 23:32:10,1301739808365121546,Marianto🙌🏼🇺🇸💖,@GHuebinger @KamalaHarris @JoeBiden Trump2020 no more bulls... https://t.co/4xREY8HCbM,JoeBiden,0,0,en
52,1d20120d-a8e7-4871-a2ad-852637a64d24,2020-09-04 4:32:09,2020-09-03 23:32:09,1301739807639564289,aaron young,@JoeBiden um no thx.,JoeBiden,0,0,en
53,1d20120d-a8e7-4871-a2ad-852637a64d24,2020-09-04 4:32:09,2020-09-03 23:32:09,1301739807572480004,SnottyDrippin,@byrnesli @Anythingpork @johnpavlovitz @JoeBiden He was there back on March 30th!(This is not news) along other CEO… https://t.co/Q7kg0vfa4t,JoeBiden,0,0,en
54,1d20120d-a8e7-4871-a2ad-852637a64d24,2020-09-04 4:32:09,2020-09-03 23:32:09,1301739804242010112,Michelle,"RT @KamalaHarris: As @JoeBiden said, the shots fired at Jacob Blake pierced the soul of our nation.

We see the pain and hurt of yet anothe…",JoeBiden,0,6357,en
55,1d20120d-a8e7-4871-a2ad-852637a64d24,2020-09-04 4:32:08,2020-09-03 23:32:08,1301739803139076096,Juan Gutierrez,"RT @RepVernonJones: Yes, @BlackVoices4DJT is surfacing in #ATL. @realDonaldTrump will take the #peach state with Black voters tired of 47 y…",JoeBiden,0,7701,en
56,1d20120d-a8e7-4871-a2ad-852637a64d24,2020-09-04 4:32:08,2020-09-03 23:32:08,1301739803059388417,Rosemary,RT @B52Malmet: Our world is full of pain and anguish on so many levels. Knowing that @JoeBiden and Dr. Jill Biden met with the Blake family…,JoeBiden,0,637,en
57,1d20120d-a8e7-4871-a2ad-852637a64d24,2020-09-04 4:32:08,2020-09-03 23:32:08,1301739802811916289,AngelC,@LilOMe53 @RealMattLocke @EricTrump @realDonaldTrump @JoeBiden Probably should listen to the whole video,JoeBiden,0,0,en
58,1d20120d-a8e7-4871-a2ad-852637a64d24,2020-09-04 4:32:08,2020-09-03 23:32:08,1301739801150849024,AllisonG🇺🇸#MAGA,RT @toddstarnes: Multiple anonymous sources say @JoeBiden has been diagnosed with a life-changing medical condition that could result him i…,JoeBiden,0,1048,en
59,1d20120d-a8e7-4871-a2ad-852637a64d24,2020-09-04 4:32:08,2020-09-03 23:32:08,1301739800022732801,DrConservaMom🇺🇸🐸🌐,"RT @ConservaMomUSA: .@JoeBiden handlers are NOT happy with #Kenosha’s Portia Bennett saying, “I’m gonna be honest,Mr Biden-I was TOLD to go…",JoeBiden,0,3823,en
60,1d20120d-a8e7-4871-a2ad-852637a64d24,2020-09-04 4:32:07,2020-09-03 23:32:07,1301739798281875456,Castello,RT @PressBeet: @ProudSocialist @JoeBiden Can we still blame Russia and Susan Sarandon though?,JoeBiden,0,1,en
61,1d20120d-a8e7-4871-a2ad-852637a64d24,2020-09-04 4:32:07,2020-09-03 23:32:07,1301739797984100352,Insider1748,"RT @HerschelWalker: No one ever deserves to die or be shot! @JoeBiden, you speak of @POTUS separating, did you not think about visiting the…",JoeBiden,0,12824,en
62,1d20120d-a8e7-4871-a2ad-852637a64d24,2020-09-04 4:32:07,2020-09-03 23:32:07,1301739797682122752,⚡ Blake ⚡,RT @aubrey_huff: .@JoeBiden is going to meet with Jacob Blake’s family on his visit to Wisconsin. I wonder if he will visit the woman’s fam…,JoeBiden,0,12195,en
63,1d20120d-a8e7-4871-a2ad-852637a64d24,2020-09-04 4:32:07,2020-09-03 23:32:07,1301739796960702464,John Doh,@nytimes #AntifaBLMDomesticTerrorists @JoeBiden supporters killing people for their political views and burning dow… https://t.co/ePdVo7W7DS,JoeBiden,0,0,en
